date,user,filename,top topics, and contribution to doc ...,,,,,,,,,,
5/14/2015 21:06,GlennCosby,null-source,5,0.25,4,0.25,3,0.25,2,0.25,,,,
5/14/2015 21:00,GlennCosby,null-source,7,0.5,6,0.5,,,,,,,,
5/14/2015 10:56,GlennCosby,null-source,9,0.3,5,0.3,8,0.1,7,0.1,2,0.1,1,0.1
5/13/2015 19:50,GlennCosby,null-source,9,0.5,5,0.5,,,,,,,,
5/13/2015 19:50,GlennCosby,null-source,9,0.333,5,0.333,8,0.167,6,0.167,,,,
5/13/2015 9:11,GlennCosby,null-source,9,0.571,7,0.143,3,0.143,2,0.143,,,,
5/12/2015 21:02,GlennCosby,null-source,10,0.222,3,0.222,1,0.222,9,0.111,7,0.111,4,0.111
5/12/2015 13:34,GlennCosby,null-source,10,0.4,9,0.2,4,0.2,1,0.2,,,,
5/12/2015 13:32,GlennCosby,null-source,4,0.429,3,0.286,6,0.143,1,0.143,,,,
5/11/2015 9:12,GlennCosby,null-source,7,0.333,5,0.333,3,0.333,,,,,,
5/11/2015 9:12,GlennCosby,null-source,10,0.5,9,0.5,,,,,,,,
5/7/2015 20:53,GlennCosby,null-source,4,0.5,3,0.5,,,,,,,,
5/7/2015 20:53,GlennCosby,null-source,10,0.5,4,0.5,,,,,,,,
5/7/2015 20:46,GlennCosby,null-source,3,1,,,,,,,,,,
5/7/2015 20:46,GlennCosby,null-source,7,0.5,6,0.5,,,,,,,,
5/7/2015 20:46,GlennCosby,null-source,10,0.5,6,0.5,,,,,,,,
5/7/2015 20:22,GlennCosby,null-source,8,0.5,7,0.5,,,,,,,,
5/7/2015 19:11,GlennCosby,null-source,9,0.5,2,0.5,,,,,,,,
5/7/2015 19:11,GlennCosby,null-source,8,0.5,5,0.5,,,,,,,,
5/7/2015 19:11,GlennCosby,null-source,2,0.5,1,0.5,,,,,,,,
5/7/2015 18:20,GlennCosby,null-source,8,0.5,7,0.5,,,,,,,,
5/7/2015 17:52,GlennCosby,null-source,6,0.5,2,0.5,,,,,,,,
5/7/2015 17:48,GlennCosby,null-source,8,0.5,4,0.5,,,,,,,,
5/7/2015 17:34,GlennCosby,null-source,9,0.5,1,0.5,,,,,,,,
5/7/2015 17:05,GlennCosby,null-source,9,0.5,4,0.5,,,,,,,,
5/7/2015 16:51,GlennCosby,null-source,10,1,,,,,,,,,,
5/7/2015 16:50,GlennCosby,null-source,7,0.5,1,0.5,,,,,,,,
5/7/2015 16:50,GlennCosby,null-source,9,0.5,5,0.5,,,,,,,,
5/7/2015 16:21,GlennCosby,null-source,4,0.375,10,0.125,8,0.125,6,0.125,5,0.125,3,0.125
5/7/2015 16:05,GlennCosby,null-source,9,0.5,1,0.5,,,,,,,,
5/7/2015 16:05,GlennCosby,null-source,3,0.5,1,0.5,,,,,,,,
5/7/2015 16:01,GlennCosby,null-source,6,0.5,1,0.5,,,,,,,,
5/7/2015 16:01,GlennCosby,null-source,10,0.5,3,0.5,,,,,,,,
5/7/2015 13:38,GlennCosby,null-source,8,0.5,4,0.5,,,,,,,,
5/7/2015 13:17,GlennCosby,null-source,5,0.333,4,0.333,7,0.167,3,0.167,,,,
5/7/2015 11:44,GlennCosby,null-source,4,0.444,5,0.222,9,0.111,8,0.111,2,0.111,,
5/7/2015 10:31,GlennCosby,null-source,10,0.5,7,0.5,,,,,,,,
5/7/2015 10:31,GlennCosby,null-source,2,0.667,5,0.333,,,,,,,,
5/7/2015 10:17,GlennCosby,null-source,1,0.667,8,0.333,,,,,,,,
5/7/2015 10:16,GlennCosby,null-source,9,0.5,5,0.5,,,,,,,,
5/7/2015 10:16,GlennCosby,null-source,9,0.375,2,0.25,7,0.125,6,0.125,5,0.125,,
5/7/2015 10:12,GlennCosby,null-source,8,0.25,7,0.25,2,0.25,1,0.25,,,,
5/7/2015 9:56,GlennCosby,null-source,7,0.5,2,0.5,,,,,,,,
5/7/2015 9:47,GlennCosby,null-source,5,0.375,10,0.125,7,0.125,6,0.125,3,0.125,2,0.125
5/7/2015 9:34,GlennCosby,null-source,9,0.5,3,0.5,,,,,,,,
5/15/2015 16:25,Elli_Eats,null-source,8,0.333,7,0.333,1,0.333,,,,,,
5/15/2015 14:25,Elli_Eats,null-source,10,0.5,6,0.5,,,,,,,,
5/15/2015 9:51,Elli_Eats,null-source,7,0.6,8,0.2,1,0.2,,,,,,,,,,
5/14/2015 8:18,Elli_Eats,null-source,1,0.75,2,0.25,,,,,,,,,,,,
5/13/2015 12:40,Elli_Eats,null-source,10,0.333,4,0.333,3,0.333,,,,,,,,,,
5/11/2015 15:57,Elli_Eats,null-source,10,0.333,6,0.333,8,0.167,1,0.167,,,,,,,,
5/9/2015 19:15,Elli_Eats,null-source,2,0.333,9,0.222,1,0.222,8,0.111,6,0.111,,,,,,
5/8/2015 15:53,Elli_Eats,null-source,6,0.5,1,0.5,,,,,,,,,,,,
5/8/2015 15:51,Elli_Eats,null-source,9,0.333,8,0.333,2,0.333,,,,,,,,,,
5/7/2015 10:23,Elli_Eats,null-source,8,0.4,4,0.4,7,0.2,,,,,,,,,,
5/7/2015 8:56,Elli_Eats,null-source,8,0.182,4,0.182,2,0.182,10,0.091,9,0.091,6,0.091,5,0.091,3,0.091
5/7/2015 8:55,Elli_Eats,null-source,1,0.5,7,0.167,6,0.167,5,0.167,,,,,,,,
5/7/2015 8:15,Elli_Eats,null-source,2,0.75,1,0.25,,,,,,,,,,,,
